"","ppt","age","sex","condition","version","type_quest","type_resp","resp","conf","type","cond_rc","cond_rc2","type_rc","type_rc2"
"151",13,18,"M","Contrôle","A","misleading_3","""députés tous pourris""",1,1,"misleading",0,2,-2,0
"152",13,18,"M","Contrôle","A","misleading_4","bleue",1,5,"misleading",0,2,-2,0
"153",13,18,"M","Contrôle","A","neutral_1","Homme",1,4,"neutral",0,2,1,-1
"154",13,18,"M","Contrôle","A","neutral_2","menaces d'assassinat",1,5,"neutral",0,2,1,-1
"155",13,18,"M","Contrôle","A","neutral_3","place",0,4,"neutral",0,2,1,-1
"156",13,18,"M","Contrôle","A","neutral_4","matraque",1,4,"neutral",0,2,1,-1
"157",14,20,"F","Contrôle","B","leading_1","Journalistes",0,5,"leading",0,2,1,1
"158",14,20,"F","Contrôle","B","leading_2","2ème étage",0,2,"leading",0,2,1,1
"159",14,20,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"160",14,20,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"161",14,20,"F","Contrôle","B","misleading_1","Femme",0,5,"misleading",0,2,-2,0
"162",14,20,"F","Contrôle","B","misleading_2","menaces d'attentat",0,5,"misleading",0,2,-2,0
"163",14,20,"F","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"164",14,20,"F","Contrôle","B","misleading_4","matraque",1,4,"misleading",0,2,-2,0
"165",14,20,"F","Contrôle","B","neutral_1","3",1,5,"neutral",0,2,1,-1
"166",14,20,"F","Contrôle","B","neutral_2","Bras",0,1,"neutral",0,2,1,-1
"167",14,20,"F","Contrôle","B","neutral_3","Quasiment pleine",1,1,"neutral",0,2,1,-1
"168",14,20,"F","Contrôle","B","neutral_4","Tête",1,5,"neutral",0,2,1,-1
"169",15,18,"F","Contrôle","B","leading_1","Police",1,4,"leading",0,2,1,1
"170",15,18,"F","Contrôle","B","leading_2","1er étage",1,2,"leading",0,2,1,1
"171",15,18,"F","Contrôle","B","leading_3","""députés tous pourris""",1,4,"leading",0,2,1,1
"172",15,18,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"173",15,18,"F","Contrôle","B","misleading_1","Femme",0,2,"misleading",0,2,-2,0
"174",15,18,"F","Contrôle","B","misleading_2","menaces d'assassinat",1,5,"misleading",0,2,-2,0
"175",15,18,"F","Contrôle","B","misleading_3","salle",1,4,"misleading",0,2,-2,0
"176",15,18,"F","Contrôle","B","misleading_4","matraque",1,2,"misleading",0,2,-2,0
"177",15,18,"F","Contrôle","B","neutral_1","3",1,3,"neutral",0,2,1,-1
"178",15,18,"F","Contrôle","B","neutral_2","Front",1,2,"neutral",0,2,1,-1
"179",15,18,"F","Contrôle","B","neutral_3","Quasiment vide",0,4,"neutral",0,2,1,-1
"180",15,18,"F","Contrôle","B","neutral_4","Tête",1,3,"neutral",0,2,1,-1
"181",16,19,"F","Contrôle","B","leading_1","Police",1,5,"leading",0,2,1,1
"182",16,19,"F","Contrôle","B","leading_2","2ème étage",0,2,"leading",0,2,1,1
"183",16,19,"F","Contrôle","B","leading_3","""députés tous pourris""",1,5,"leading",0,2,1,1
"184",16,19,"F","Contrôle","B","leading_4","bleue",1,4,"leading",0,2,1,1
"185",16,19,"F","Contrôle","B","misleading_1","Femme",0,4,"misleading",0,2,-2,0
"186",16,19,"F","Contrôle","B","misleading_2","menaces d'attentat",0,4,"misleading",0,2,-2,0
"187",16,19,"F","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"188",16,19,"F","Contrôle","B","misleading_4","matraque",1,5,"misleading",0,2,-2,0
"189",16,19,"F","Contrôle","B","neutral_1","3",1,3,"neutral",0,2,1,-1
"190",16,19,"F","Contrôle","B","neutral_2","Front",1,5,"neutral",0,2,1,-1
"191",16,19,"F","Contrôle","B","neutral_3","Quasiment pleine",1,2,"neutral",0,2,1,-1
"192",16,19,"F","Contrôle","B","neutral_4","Tête",1,4,"neutral",0,2,1,-1
"193",17,20,"F","Contrôle","B","leading_1","Police",1,5,"leading",0,2,1,1
"194",17,20,"F","Contrôle","B","leading_2","1er étage",1,4,"leading",0,2,1,1
"195",17,20,"F","Contrôle","B","leading_3","""députés tous pourris""",1,2,"leading",0,2,1,1
"196",17,20,"F","Contrôle","B","leading_4","bleue",1,5,"leading",0,2,1,1
"197",17,20,"F","Contrôle","B","misleading_1","Femme",0,4,"misleading",0,2,-2,0
"198",17,20,"F","Contrôle","B","misleading_2","menaces d'attentat",0,4,"misleading",0,2,-2,0
"199",17,20,"F","Contrôle","B","misleading_3","salle",1,5,"misleading",0,2,-2,0
"200",17,20,"F","Contrôle","B","misleading_4","matraque",1,5,"misleading",0,2,-2,0
"201",17,20,"F","Contrôle","B","neutral_1","3",1,3,"neutral",0,2,1,-1
"202",17,20,"F","Contrôle","B","neutral_2","Bras",0,5,"neutral",0,2,1,-1
"203",17,20,"F","Contrôle","B","neutral_3","Quasiment pleine",1,2,"neutral",0,2,1,-1
"204",17,20,"F","Contrôle","B","neutral_4","Tête",1,5,"neutral",0,2,1,-1
"205",18,18,"H","Contrôle","B","leading_1","Police",1,2,"leading",0,2,1,1
