"","ppt","sex","age","condition","item_type","item","resp","item_type_rc_1","item_type_rc_2","cond_rc"
"338","C6","F",21,"Control","Studied","Miel",4,1,-1,0.5
"339","C6","F",21,"Control","Studied","Moteur",2,1,-1,0.5
"340","C6","F",21,"Control","Unstudied","Mousse",1,-1,-1,0.5
"341","C6","F",21,"Control","Studied","Mouton",4,1,-1,0.5
"342","C6","F",21,"Control","Lure","Neige",3,0,2,0.5
"343","C6","F",21,"Control","Studied","Nid",4,1,-1,0.5
"344","C6","F",21,"Control","Unstudied","Or",1,-1,-1,0.5
"345","C6","F",21,"Control","Studied","Pantoufle",3,1,-1,0.5
"346","C6","F",21,"Control","Studied","Pied",4,1,-1,0.5
"347","C6","F",21,"Control","Lure","Porte",4,0,2,0.5
"348","C6","F",21,"Control","Studied","Prêtre",4,1,-1,0.5
"349","C6","F",21,"Control","Studied","Reine",4,1,-1,0.5
"350","C6","F",21,"Control","Unstudied","Salaire",1,-1,-1,0.5
"351","C6","F",21,"Control","Unstudied","Savon",3,-1,-1,0.5
"352","C6","F",21,"Control","Studied","Semelle",4,1,-1,0.5
"353","C6","F",21,"Control","Studied","Seuil",2,1,-1,0.5
"354","C6","F",21,"Control","Studied","Ski",4,1,-1,0.5
"355","C6","F",21,"Control","Unstudied","Soldat",1,-1,-1,0.5
"356","C6","F",21,"Control","Unstudied","Train",2,-1,-1,0.5
"357","C6","F",21,"Control","Studied","Tricot",4,1,-1,0.5
"358","C6","F",21,"Control","Lure","Vin",4,0,2,0.5
"359","C6","F",21,"Control","Lure","Voiture",4,0,2,0.5
"360","C6","F",21,"Control","Unstudied","Wagon",2,-1,-1,0.5
"361","C7","F",19,"Control","Lure","Abeille",3,0,2,0.5
"362","C7","F",19,"Control","Studied","Accident",4,1,-1,0.5
"363","C7","F",19,"Control","Studied","Alcool",4,1,-1,0.5
"364","C7","F",19,"Control","Studied","Amende",1,1,-1,0.5
"365","C7","F",19,"Control","Unstudied","Arbre",1,-1,-1,0.5
"366","C7","F",19,"Control","Unstudied","Argent",1,-1,-1,0.5
"367","C7","F",19,"Control","Unstudied","Armée",1,-1,-1,0.5
"368","C7","F",19,"Control","Unstudied","Bain",1,-1,-1,0.5
"369","C7","F",19,"Control","Studied","Barrique",1,1,-1,0.5
"370","C7","F",19,"Control","Unstudied","Bois",1,-1,-1,0.5
"371","C7","F",19,"Control","Studied","Botte",4,1,-1,0.5
"372","C7","F",19,"Control","Studied","Bureau",4,1,-1,0.5
"373","C7","F",19,"Control","Unstudied","Canon",1,-1,-1,0.5
"374","C7","F",19,"Control","Studied","Chaise",4,1,-1,0.5
"375","C7","F",19,"Control","Studied","Chalet",1,1,-1,0.5
"376","C7","F",19,"Control","Lure","Chaussure",4,0,2,0.5
"377","C7","F",19,"Control","Unstudied","Chêne",1,-1,-1,0.5
"378","C7","F",19,"Control","Studied","Clé",4,1,-1,0.5
"379","C7","F",19,"Control","Studied","Clocher",4,1,-1,0.5
"380","C7","F",19,"Control","Studied","Couverture",4,1,-1,0.5
"381","C7","F",19,"Control","Studied","Croix",4,1,-1,0.5
"382","C7","F",19,"Control","Lure","Eglise",4,0,2,0.5
"383","C7","F",19,"Control","Lure","Fauteuil",1,0,2,0.5
"384","C7","F",19,"Control","Studied","Fenêtre",3,1,-1,0.5
"385","C7","F",19,"Control","Unstudied","Feu",2,-1,-1,0.5
"386","C7","F",19,"Control","Unstudied","Flamme",2,-1,-1,0.5
"387","C7","F",19,"Control","Unstudied","Forêt",1,-1,-1,0.5
"388","C7","F",19,"Control","Unstudied","Fumée",1,-1,-1,0.5
"389","C7","F",19,"Control","Unstudied","Fusil",1,-1,-1,0.5
"390","C7","F",19,"Control","Unstudied","Gare",1,-1,-1,0.5
"391","C7","F",19,"Control","Unstudied","Incendie",1,-1,-1,0.5
"392","C7","F",19,"Control","Studied","Ivresse",4,1,-1,0.5
"393","C7","F",19,"Control","Lure","Laine",3,0,2,0.5
"394","C7","F",19,"Control","Unstudied","Lavande",1,-1,-1,0.5
"395","C7","F",19,"Control","Studied","Luge",3,1,-1,0.5
"396","C7","F",19,"Control","Unstudied","Métal",1,-1,-1,0.5
"397","C7","F",19,"Control","Unstudied","Métro",1,-1,-1,0.5
